Generation Source,Levelized Cost of Energy (₱ / kWh),Percent of Utility Energy Mix
Coal,6.5,0.445
Natural Gas,5.5,0.211
Oil,12,0.035
WESM Purchases,10,0.10
Biomass,3.5,0.01
Geothermal,3.5,0.101
Hydro,2.5,0.076
Wind,3,0.01
Utility-Scale Solar,5,0.012
GEOP,0,0.00
Net-Metering,5.5,0.00
